Title,Tags,Answered,Link,With code,matched_keywords,performance issue,factor,description,tag,problems root causes,how to fix,label_1,label_2,final_label
"Avoiding Out of Memory Error with Bitmap Factory, Even When Resizing Isn't an Issue?","android,bitmap,window,out-of-memory,bitmapfactory",True,https://stackoverflow.com/questions/24297153/avoiding-out-of-memory-error-with-bitmap-factory-even-when-resizing-isnt-an-is,True,out of memory,Memory Consumption,Image,"Bitmap
It will fail on the G2 as well, depending on where and when you call this method. Your ""256kb"" picture will take up several MB of heap space, and there is no assurance that you have that amount of heap space available in a single contiguous block.
Also, I would not use a class and method designed for creating thumbnails will be suitable for creating wallpaper-sized images.
Use inSampleSize on your BitmapFactory.Options to downsample the image to closer to the right size while it is being read in.
Then, dump your use of ThumbnailUtils and allow your ImageView to scale it the rest of the way, to avoid making yet another copy of the image.
Bonus points for using inBitmap instead of junking and re-allocating your Bitmap every time, since the screen size is not changing, and therefore your wallpaper dimensions are not changing.
These techniques and more are covered in the developer documentation.",example,,,1,1,1
Out of memory error while loading hundred of bitmap images in Scroll view in android,"android,image,bitmap,out-of-memory,scrollview",True,https://stackoverflow.com/questions/21771454/out-of-memory-error-while-loading-hundred-of-bitmap-images-in-scroll-view-in-and,True,out of memory,No,No,"BitMap Image
you can user Univarsal Image Loader. This is better api for image download and store in catch. and get from catch. it's a great api for image operation.",,,,0,0,0
Is there something that needs to be added to avoid memory leaks when switching between activities?,"java,android,memory-leaks,android-activity",True,https://stackoverflow.com/questions/21667190/is-there-something-that-needs-to-be-added-to-avoid-memory-leaks-when-switching-b,True,memory leak,Memory Consumption,Activity,"Switching Between Activities.
",example,,,1,1,1
Android runOnUiThread causing memory leak,"android,memory-leaks",True,https://stackoverflow.com/questions/21665907/android-runonuithread-causing-memory-leak,True,memory leak,Memory Consumption,Activity,"Each time you change the orientation, Android creates and starts a new activity. The memory leak is due to the fact that the garbage collector cannot collect the old activity that's no longer needed since the separate thread is still running and - as an inner class - is holding onto the activity.

To get rid of the memory leak, you need to stop and end the separate thread when the activity is destroyed.",example,,,1,1,1
Whatsapp data storage - all data stored locally on phone? [closed],"android,storage,whatsapp",True,https://stackoverflow.com/questions/21663738/whatsapp-data-storage-all-data-stored-locally-on-phone,True,data storage,No,,,,,,0,0,0
Android data storage in xml,"android,android-xml,data-storage",True,https://stackoverflow.com/questions/21646018/android-data-storage-in-xml,True,data storage,No,,,,,,0,0,0
File download - Out Of Memory(OOM),"android,file,out-of-memory,large-files",True,https://stackoverflow.com/questions/21599583/file-download-out-of-memoryoom,True,out of memory,Memory Consumption,File Handling,"byte[] br = readingfile.toByteArray(); you are using to get numberOfBytesReaded.
Then you are getting array again: inputStream = ... readingfile.toByteArray()); And copy it to third buffer
byte data[] = new byte[bufferSize];.
Try to use just one for all of these operations.
General advice is to set pointers of objects (and arrays) to NULL when you don't need them anymore.",new factor,,,1,0,1
During the Loading several images in ImageView get Out of Memory exception [duplicate],"android,imageview",True,https://stackoverflow.com/questions/21598984/during-the-loading-several-images-in-imageview-get-out-of-memory-exception,True,out of memory,No,No,"Image Loading
During the Loading several images in ImageView get Out of Memory exception

In application i loading the several images from URL. But during the loading of images i get the Out Of Memory exception.",,,,0,0,0
Volley give me Out of memory exception after I make a lot of request with big amount of data,"android,out-of-memory,android-volley",True,https://stackoverflow.com/questions/21475129/volley-give-me-out-of-memory-exception-after-i-make-a-lot-of-request-with-big-am,True,out of memory,No,No,"Volley give me Out of memory exception after I make a lot of request with big amount of data
I have a Page Viewer and inside every page I have list View , this list view will have 10 records using a web service , so the page viewer use three calls of the web service to populate three pages (the current , the left and the right page) but after I make a lot of swipes I am getting this exception :

How do you initialize your RequestQueue? I suspect that you are creating RequestQueues for each tab. If that's the case, change your program to use one common instance of RequestQueue from all the tabs. You need to initialize and retain it in your activity and add requests to it from each tab.","new factor, similar to HTTP request?",,,0,0,0
Android - Plotting a LOT of lines on google maps - Getting application not responding,"android,multithreading,google-maps,geolocation",True,https://stackoverflow.com/questions/21357130/android-plotting-a-lot-of-lines-on-google-maps-getting-application-not-respo,True,application not responding,Responsiveness,Main Thread,"Android - Plotting a LOT of lines on google maps - Getting application not responding
I'm writing an app to track movements on google maps v2. For each position changed, I'm adding a new map point to my array, then adding a polyline to the map. I'm also saving the location in a sqlite database. Here is the relevant code:

After about 2000 points, the app becomes unresponsive on my phone. I don't think it's because the array is getting too big because when I pull all of the data from the database (sometimes over 6000 rows), it follows the same logic and paints the map just fine (using the array). I'm wondering if it's because I have everything running on the main thread (music playing, google map, location services, database inserts, textview changes etc). If that's the culprit, how should I change this up to put things in a different thread? What should go in the different thread? And lastly, how would I write up moving any of these things to a different thread (code samples or point me to a resource).
",,,,1,1,1
Memory Leak in MessageQueue in android?,"java,android,memory-leaks,message-queue,leakcanary",True,https://stackoverflow.com/questions/70483976/memory-leak-in-messagequeue-in-android,True,memory leak,Memory Consumption,Activity,"Most likely, you have a piece a code that keeps rescheduling itself as a postDelayed on the main thread, even after the activity is destroyed. That callback needs to be canceled in onDestroy()",new factor,,,1,1,1
How to decrease flutter app size in android,"android,flutter,dart,bundle",True,https://stackoverflow.com/questions/70431428/how-to-decrease-flutter-app-size-in-android,True,app size,No,,,,,,0,0,0
Memory leaks when using static context items in android,"android,kotlin,memory-leaks,android-context,groupie",True,https://stackoverflow.com/questions/70058797/memory-leaks-when-using-static-context-items-in-android,True,memory leak,Memory Consumption,Data Type,"Static UI elements make no sense in Android First off, UI objects are bound to a specific Activity. They can't be used from other activities or displayed outside of their Activity. So making them static doesn't bring value

Secondly, this will always be a memory leak. Each view has a reference to its Activity. Putting an Activity in a static variable means it can't be garbage collected, because there's a valid reference to it. That will basically cause every variable in that Activity to leak. Including the UI elements, which tend to be memory hungry (each image takes 4 bytes per pixel).
",new factor,"UI objects are bound to a specific Activity and cannot be used or displayed in other Activity.
Therefore, there is no real value in setting them as static.
Each View has a reference to its Activity.
Storing an Activity in a static variable means that the Activity cannot be rubbish collected because there is a valid reference to it.
This causes all variables in the Activity to leak, including memory-hungry UI elements (e.g. images that take up 4 bytes per pixel).",,1,1,1
Asynctask Memory Leak Warning Android,"android,memory-leaks,android-asynctask",True,https://stackoverflow.com/questions/69995118/asynctask-memory-leak-warning-android,True,memory leak,Memory Consumption,AsyncTask,"I have created as asynctask to upload data to a server as below. But it shows this warning eaxctly at class AsyncTaskUploadClass. ""This AsyncTask class should be static or leaks might occurs......"" I have read and tried the weak reference style but i am unable to integrate it in this code.

It's in the nature of inner classes of Java- a class within a class has a hidden reference to the parent instance. That can cause memory leaks. The way to avoid that is to make it a static inner class- static class Foo. This will cause it to remove the hidden reference, but the inner class will no longer be able to reference functions or member variables of the parent.

More practically- this type of AsyncTask, while it technically can cause a temporary leak, is fairly safe as long as the doInBackground function terminates in a reasonable amount of time. For this class, if imageProcessClass.ImageHttpReques() runs and terminates (with either a timeout error or by finishing its work) in a reasonable amount of time it isn't a leak worry- it just that the parent class, which looks like an Activity, will not be freed until it does so. So it will force the parent class to stick around for a second or two longer than needed if the Activity is finished but the request is processing.",,,,1,1,1
Android data storage and retrieving,"android,database,store",True,https://stackoverflow.com/questions/18557692/android-data-storage-and-retrieving,True,data storage,No,,,,,,0,0,0
Out of Memory Error in gridView Android Eclipse,"java,android,eclipse,gridview,out-of-memory",True,https://stackoverflow.com/questions/18552163/out-of-memory-error-in-gridview-android-eclipse,True,out of memory,Memory Consumption,Image,"the answers others have given you about putting the images on a server aren't correct at all. it doesn't matter if it's in the app or on a server since in the end, you need images to be decoded.

size of the app doesn't matter about the images, as it depends on their resolutions and where you put them. a jpg file could take a lot less than the memory that is needed in order to show it, especially if it doesn't have a lot of randomness on the pixels.

what can you do? actually i've answered a very similar question here. in short, you can downscale to the size that you need to , and/or use a different config . you could also put the images in the drawable-xhdpi folder .

",,,,1,1,1
Android Leaked Window - App adopts an ANR State,"android,exception,memory-leaks",True,https://stackoverflow.com/questions/18485982/android-leaked-window-app-adopts-an-anr-state,True, ANR ,Responsiveness,Activity,"What is this leaked window?
The WindowLeaked exception in your case is happening because you are not dismissing the MyProgressDialog before finishing the activity. Hence it is leaking the memory associated with it.

General case :

The WindowLeaked exception generally happens when you have some sort of async task that is finishing after the activity that began it, is destroyed.This type of Exception is occurred in case mainly for Dialogs,where we did not dismiss the dialogs before the Activity Context is destroyed.

So it is better to put a check before showing the dialog
Solution for the above issue is to dismiss the MyProgressDialog before finish the activity.
",new relation,,,1,0,1
Android - Out of Memory Error due to starting a lot of Activities started,android,True,https://stackoverflow.com/questions/18459137/android-out-of-memory-error-due-to-starting-a-lot-of-activities-started,True,out of memory,No,No,,,,,0,0,0
Android app freezes without ANR after moving code into runnable,"android,freeze,runnable",True,https://stackoverflow.com/questions/18443481/android-app-freezes-without-anr-after-moving-code-into-runnable,True, ANR ,Responsiveness,Main Thread,Application freezes after moving code to Runnable,not sure,,"You should really use a Handler for this kind of operation.
Have the runnable post a message once it's done with it's operation and then do the hview.postInvalidate(); method call.

",1,0,1
Out of Memory Exception while scroll Listview?,"android,listview,scroll",True,https://stackoverflow.com/questions/18376147/out-of-memory-exception-while-scroll-listview,True,out of memory,Memory Consumption,"Dynamic UI Loading
Image",I have made an custom adapter to view images in a listview. This images are retrieved from memory card. Everything runs fine but while i scroll through the listview i get an OutOfMemory Exception. I have posting the code using which i retrive images from sdcard.,,,,1,1,1
Android Bitmap Factory Out of Memory Second Photo,"android,bitmap,bitmapfactory",True,https://stackoverflow.com/questions/18360648/android-bitmap-factory-out-of-memory-second-photo,True,out of memory,Memory Consumption,Image,"I have fragment that handles the camera. My problem is that it takes one photo and displays it on the imageView, just fine.
The second time I try to take a pic an OutOfMemory error. Any hints how to free the memory after the first photo?


A full size picture took by camera is pretty large. Let's say maybe 4 million pixels, if you are using RGB8888 to read as bitmap, it will cost about 16mb. If you want to load 2 pictures at the same time, it is likely to out of memory.
There are several ways could help.
Read the bitmap with a sample size, which will lower the resolution of the bitmap. See this page for details.
Use RGB565 instead of RGB8888 to read the bitmap. Since your bitmap will be opaque, the alpha channel will be useless.
Recycle the old bitmap before creating a new one. This is what you can try fist.
See the sample code below.",,,,1,1,1
Huge memory consumption of UniversalImageLoader,"android,memory,android-scrollview,universal-image-loader,outofrangeexception",True,https://stackoverflow.com/questions/18262477/huge-memory-consumption-of-universalimageloader,True,memory consumption,Memory Consumption,Image,"Image Loading.
The Images dispalyed in the ImageViews are downloaded from the Internet and all have around 100-150kb (dimension 640 x 320) each. If I download the Images using the UniversalImageLoader my app crashes with an OutOfMemoryException because it uses around 80Mb of memory.

If I do not download the Images, and just put in a Hard-Coded Image with the size of 1200kb (dimension 1920 x 1080) per custom view, my app only consumes around 40Mb of memory.

What am I doing wrong using the UniversalImageLoader when downloading ten times smaller Images causes my app to use up twice as much memory?

I disabled all caching mechanisms but the problem still persists.

For all the other people out there having the same issues:
I managed to minimize my Memory usage and get rid of the OutOfMemoryException by following these guidelines:
https://github.com/nostra13/Android-Universal-Image-Loader#useful-info

The most important part for me was to reduce the ThreadPoolSize down to 2.
I could not feel any performance changes after setting it down.
This reduced my applications total memory consumption by about 35%.",,,,1,1,1
What is causing a possible memory leak or crash in the following code?,android,True,https://stackoverflow.com/questions/18261150/what-is-causing-a-possible-memory-leak-or-crash-in-the-following-code,True,memory leak,Memory Consumption,Override,super.onDestroy() must be the first call of the onDestroy method if you override it.,,"
",Putting super.onDestroy(); in front,1,1,1
How to use JNI bitmap operations for helping to avoid OOM when using large images? [closed],"android,bitmap,android-ndk,java-native-interface,out-of-memory",True,https://stackoverflow.com/questions/18250951/how-to-use-jni-bitmap-operations-for-helping-to-avoid-oom-when-using-large-image,True, oom ,Memory Consumption,Image,"Image Loading
Use JNI bitmap operations for helping to avoid OOM when using large images.",,,,1,1,1
Potential memory leaks when using searchView along with ROOM database and live data,"java,android,kotlin,android-room,android-architecture-components",True,https://stackoverflow.com/questions/76982259/potential-memory-leaks-when-using-searchview-along-with-room-database-and-live-d,True,memory leak,Memory Consumption,Database Operation,"I'm looking to implement a SearchView feature in an app that utilizes the ROOM library. During my online research, I noticed that many examples follow a pattern similar to the one below:

Now, I'm curious to know if I'm getting the whole thing right. Could it be the case that with this approach, a new observer is created each time a user enters a new letter and the onQueryTextChange method is triggered? If that's the case, does this potentially lead to memory leaks? Or, on the other hand, does the viewLifecycleOwner automatically handle these observers, ensuring they are disposed of when they're no longer needed?

From what you’ve shown, this does leak observers. There will be obsolete observers sitting in memory for almost every character typed or deleted until the Fragment’s view is destroyed. Even worse, if these observers come from Room, they will all be running queries every time the database is modified until they are released.

One way to avoid this would be to use a switch map operation based on the search query. The switch map operation does exactly what we want…when there is new data, it cancels observing the previous LiveData and starts a new one. This is done under its own hood, so to an outside observer, it’s just a single LiveData stream.",new pattern,,,1,1,1
Memory leak in SensorManager implementation in parent class,"android,kotlin,memory-leaks,android-sensors,sensormanager",True,https://stackoverflow.com/questions/76913662/memory-leak-in-sensormanager-implementation-in-parent-class,True,memory leak,Memory Consumption,Activity,"I have handled screen orientation using SensorManager and it's working fine
But there is some memory leak as it is set in BaseActivity like\
I think my context is leaking as user switch from one activity to another But mInstance is not null due to singleton object




Your SensorOrientationChangeNotifier class holds a reference to the Context you pass to it. Since you pass the Activity as your Context parameter, it is holding a reference to your Activity for as long as it is alive, which is forever since it is a singleton. You were naming your parameters applicationContext but in practice you were using an Activity instance instead.

To fix it, make sure you pull the applicationContext out of the Activity and use that. You can't leak the Application's Context, because it lasts for the lifetime of the application instance.

Also, there's no reason to be returning a nullable from your getInstance() function. And your TAG right now evaluates to ""Companion"", which isn't very useful. Here it is with both of those things fixed:",example,,,1,1,1
Android: Memory leak in MediaProjection,"android,memory-leaks",True,https://stackoverflow.com/questions/76828546/android-memory-leak-in-mediaprojection,True,memory leak,Memory Consumption,Activity,"In your MainActivity, change the initialization of the MediaProjectionManager to use the Application Context instead of the Activity Context.

val mediaProjectionManager = getSystemService(MEDIA_PROJECTION_SERVICE) as MediaProjectionManager

Should be

val mediaProjectionManager = applicationContext.getSystemService(MEDIA_PROJECTION_SERVICE) as MediaProjectionManager",not sure,"When certain system services (such as MediaProjectionManager) are bound to an Activity Context, memory leaks can occur if these services still hold a reference to the Activity Context after the Activity is destroyed. This is because the Activity cannot be reclaimed by the rubbish collector, and thus takes up memory. By using an Application Context, even if the MainActivity is destroyed, MediaProjectionManager is still valid and memory leaks are avoided.","By changing the initialisation of MediaProjectionManager from Activity Context to Application Context, it is ensured that MediaProjectionManager remains valid throughout the application lifecycle and does not cause memory leaks due to Activity destruction. and no memory leakage due to the destruction of the Activity.",0,1,1
Unresponsive webviews initially outside of viewport in SingleChildScrollView on real android devices w/ Android 12+,"android,flutter,dart,webview,android-webview",True,https://stackoverflow.com/questions/76629227/unresponsive-webviews-initially-outside-of-viewport-in-singlechildscrollview-on,True,unresponsive,Responsiveness,UI Rendering,"I am trying to display articles with rather long text and several iframes in them inside a SingleChildScrollView. I use flutter_html to display the content.
To custom render the iframes I create a custom extension (I need this not just for youtube videos but also to render embeds like tiktok videos, tweets, and instagram posts. The rest are not included in the post for simplicty's sake.). Which renders the specific links within InAppWebView.
If these webviews(regardless of the site) are rendered at the start of the page(in view port) such that they don't need to be scrolled down to, they work fine.
Issue: When they are further down the page so that you have to scroll to view them, they are unresponsive but only on a real device. All of them work fine on both IOS and Android simulators. The real devices I have tested this with are Android 12 and 13. Android Simulator is also Android 13. I have also tested with an Android 9 device which this works fine with.",new factor,"When using the flutter_html package to parse and display HTML content, if multiple WebViews are placed in a ScrollView, the WebView fails to respond.

","Use the flutter_widget_from_html package to parse and display HTML content, instead of the flutter_html package.",1,1,1
ConnectivityManager Callback Memory Leak - Android,"android,kotlin,memory-leaks,leakcanary,android-connectivitymanager",True,https://stackoverflow.com/questions/76538529/connectivitymanager-callback-memory-leak-android,True,memory leak,No,No,,not sure,,,0,1,0
Android Web3j create wallet turns out of memory and other problems with communications TLS (other similar questions did not helped me),"java,android,web3-java",True,https://stackoverflow.com/questions/76514458/android-web3j-create-wallet-turns-out-of-memory-and-other-problems-with-communic,True,out of memory,No,No,,,,,0,0,0
Android UI freeze when service is downloading progress,"android,android-service,freeze,bitcoinj",True,https://stackoverflow.com/questions/36401665/android-ui-freeze-when-service-is-downloading-progress,True,UI freeze,Responsiveness,Main Thread,"I'm using the library bitcoinj to create a Android wallet. The case is that I want the blockchain to be downloaded in the background so that the user can start using the other features of the app, but when it starts the download and opens a new activity, the application freezes, you can't use anything, not even return to the previous screen.",,,,1,1,1
Memory leaks with MapView in a RecyclerView,"java,android,google-maps,memory-leaks,garbage-collection",True,https://stackoverflow.com/questions/36340370/memory-leaks-with-mapview-in-a-recyclerview,True,memory leak,Memory Consumption,Activity,NOTE: This method doesn't always work,not sure,"In Android, the current Activity is recreated by default when the orientation of the device changes or the screen size changes, and this recreation may result in some resources not being freed correctly, which can lead to memory leaks.","add android:configChanges=""orientation|screenSize""",0,1,1
android universal image loader out of memory,"android,universal-image-loader",True,https://stackoverflow.com/questions/36323478/android-universal-image-loader-out-of-memory,True,out of memory,Memory Consumption,Image,"Image Loading
If you often got OutOfMemoryError in your app using Universal Image Loader then:

Disable caching in memory. If OOM is still occurs then it seems your app has a memory leak. Use MemoryAnalyzer to detect it. Otherwise try the following steps (all of them or several):
Reduce thread pool size in configuration (.threadPoolSize(...)). 1 - 5 is recommended.
Use .bitmapConfig(Bitmap.Config.RGB_565) in display options. Bitmaps in RGB_565 consume 2 times less memory than in ARGB_8888.
Use .imageScaleType(ImageScaleType.EXACTLY) (Your already use this tips)
Use .diskCacheExtraOptions(480, 320, null) in configuration",,,,1,1,1
Android studio app randomly runs out of memory,"java,android",True,https://stackoverflow.com/questions/36284689/android-studio-app-randomly-runs-out-of-memory,True,out of memory,Memory Consumption,Object Creation,"Your class MainActivity repeaditly creates new instances of MainActivity, since the variable declaration and initalization
will lead to an endless recursion that does create instances of MainActivity.

",New Factor,,,1,1,1
Prevent memory leak in Android,"android,performance,memory,memory-leaks",True,https://stackoverflow.com/questions/36179116/prevent-memory-leak-in-android,True,memory leak,No,No,,,,,0,0,0
Android : Bitmap causing out of memory error,"android,bitmap",True,https://stackoverflow.com/questions/36141094/android-bitmap-causing-out-of-memory-error,True,out of memory,Memory Consumption,Image,"I'm having some troubles with memory leaks on Android.
I do have a simple application with a relatively picture as background and it works fine, until I change the orientation.
The following is a graph showing the memory leak (allocated memory over time). Every spike corresponds to an orientation change, and every spike is +20M of allocated memory
At ~ 30 seconds the app crashes with an obvious ""OutOfMemory"" error:
Throwing OutOfMemoryError ""Failed to allocate a 17469452 byte allocation with 804912 free bytes and 786KB until OOM""`




I've managed to solve the problem.
It was all because of a damn timer which was setting a tick event on every screen orientation change.
To fix the issue I simply binded the timer to a variable, and called timer.cancel() in onSaveInstance()
",new factor,,,1,1,1
Does one need to free the viewbinding in the RecyclerView's ViewHolder to avoid memory leaks?,"android,android-recyclerview,android-viewholder,android-viewbinding",True,https://stackoverflow.com/questions/73167957/does-one-need-to-free-the-viewbinding-in-the-recyclerviews-viewholder-to-avoid,True,memory leak,No,No,,,,,0,0,0
Bitmap Out Of Memory exception throw new OutOfMemoryException(e);,"android,out-of-memory",True,https://stackoverflow.com/questions/15580093/bitmap-out-of-memory-exception-throw-new-outofmemoryexceptione,True,out of memory,No,No,,,,,0,0,0
"Is this a good technique (Using data holder) to eliminate anonymous class, to reduce memory leak risk","java,android",True,https://stackoverflow.com/questions/15528040/is-this-a-good-technique-using-data-holder-to-eliminate-anonymous-class-to-re,True,memory leak,No,No,,,,,0,0,0
"Android decompressing PNGs, will cause potential out of memory errors","android,background-image,out-of-memory,memory-consumption",True,https://stackoverflow.com/questions/15525263/android-decompressing-pngs-will-cause-potential-out-of-memory-errors,True,out of memory,No,No,,,,,0,0,0
using asynctask to speed up android app launch time,"android,android-asynctask",True,https://stackoverflow.com/questions/15455858/using-asynctask-to-speed-up-android-app-launch-time,True,launch time,No,No,,,,,0,0,0
tabs / fragments and memory leak,"android,memory-leaks",True,https://stackoverflow.com/questions/15454771/tabs-fragments-and-memory-leak,True,memory leak,No,No,,,,,0,0,0
AsyncHttpClient download large Pdf files out of memory error,android,True,https://stackoverflow.com/questions/15449589/asynchttpclient-download-large-pdf-files-out-of-memory-error,True,out of memory,No,No,,,,,0,0,0
Out of memory exception in case of simple static gallery,"android,gridview,imageview,android-gallery",True,https://stackoverflow.com/questions/15430121/out-of-memory-exception-in-case-of-simple-static-gallery,True,out of memory,"Responsiveness
Memory Consumption",Image,"I am using a simple static image gallery in which i am loading atleast 28 images each of different size below 150kb.

and i noticed two issues here:

1) Slow scroll 2) Out of memory exception when i go to this activity two three - times.


Recycle bitmaps when not in use. Use a view holder for better performance. http://www.youtube.com/watch?v=wDBM6wVEO70. I suggest you have a look at the link. Whatever applies to listview also applies to gridview and the video talks about it. The video also has a talk on view holder which is exactly what you should be using to avoid memory leaks.

There is also a talk about avoiding memory leaks at http://android-developers.blogspot.de/2009/01/avoiding-memory-leaks.html.

http://developer.android.com/training/displaying-bitmaps/load-bitmap.html. see the section Load a Scaled Down Version into Memory

Use a MAT Analyzer to check memory leaks. http://www.youtube.com/watch?v=_CruQY55HOk.

Consider some tips at http://developer.android.com/training/articles/perf-tips.html.

",example,,,1,1,1
